epoch,bitfinex,bitstamp,coinapult
1547956919,3775.1,3695.44,3775.05
1547956926,3775.1,3695.44,3775.05
1547956932,3775.1,3695.44,3775.05
1547956938,3775.1,3695.44,3775.05
1547956945,3775.0,3695.44,3775.05
1547956952,3775.0,3695.44,3775.05
1547956958,3775.0,3695.44,3775.05
1547956964,3775.0,3695.44,3775.05
1547956970,3775.0,3695.44,3775.05
1547956976,3775.0,3695.44,3775.05
1547956982,3775.0,3695.44,3775.05
1547956988,3775.0,3696.84,3775.05
1547956995,3775.0,3696.84,3775.05
1547957000,3775.0,3696.84,3775.05
1547957006,3775.0,3696.84,3775.05
1547957012,3775.0,3696.84,3775.05
1547957019,3775.0,3697.27,3775.05
1547957024,3775.0,3697.95,3775.05
1547957030,3775.1,3697.95,3775.05
1547957036,3775.0,3698.87,3775.05
1547957043,3775.1,3698.87,3775.05
1547957049,3775.1,3698.87,3775.05
1547957055,3775.1,3698.87,3775.05
1547957061,3775.1,3697.99,3775.05
1547957066,3775.1,3697.99,3775.05
1547957072,3775.1,3698.75,3775.05
1547957078,3775.1,3698.75,3775.05
1547957085,3775.1,3698.75,3775.05
1547957091,3775.1,3698.75,3775.05
1547957097,3775.1,3697.60,3775.05
1547957103,3775.1,3698.17,3775.05
